1431-07-11L0	사법-법제(法制) 사법-재판(裁判) 행정-지방행정(地方行政) 
1431-07-13L0	사법-행형(行刑) 사법-법제(法制) 
1431-07-19L0	왕실-의식(儀式) 외교-명(明) 외교-야(野) 역사-전사(前史) 군사-중앙군(中央軍) 
1431-07-20L0	인물(人物) 왕실-사급(賜給) 왕실-종친(宗親) 
1431-07-21L0	사상-불교(佛敎) 공업-관청수공(官廳手工) 재정-역(役) 
1431-07-22L0	외교-명(明) 무역(貿易) 식생활(食生活) 
1431-08-02L0	왕실-의식(儀式) 예술-음악(音樂) 예술-무용(舞踊) 의생활(衣生活) 외교-명(明) 
1431-08-04L0	외교-명(明) 외교-야(野) 
1431-08-07L0	외교-명(明) 외교-야(野) 과학-지학(地學) 
1431-08-12L0	외교-명(明) 왕실-의식(儀式) 왕실-비빈(妃嬪) 
1431-08-13L0	외교-명(明) 역사-고사(故事) 
1431-08-13L0	외교-명(明) 
1431-08-15L0	신분-천인(賤人) 사법-재판(裁判) 인물(人物) 왕실-사급(賜給) 
1431-08-17L0	외교-명(明) 예술-음악(音樂) 
1431-08-19L0	외교-명(明) 왕실-의식(儀式) 
1431-08-19L0	외교-명(明) 인사(人事) 
1431-08-20L0	외교-명(明) 행정-지방행정(地方行政) 교통-육운(陸運) 
1431-08-28L0	외교-명(明) 인사-임면(任免) 
1431-09-01L0	인사-관리(管理) 외교-명(明) 왕실-종사(宗社) 왕실-행행(行幸) 사상-토속신앙(土俗信仰) 
1431-09-03L0	인사-임면(任免) 
1431-09-08L0	인사-관리(管理) 인물(人物) 역사-고사(故事) 역사-전사(前史) 
1431-09-22L0	재정-진상(進上) 외교-명(明) 
1431-09-24L0	왕실-의식(儀式) 역사-고사(故事) 
1431-09-25L0	군사-관방(關防) 사법-법제(法制) 
1431-09-26L0	왕실-의식(儀式) 사법-재판(裁判) 사법-탄핵(彈劾) 
1431-09-26L0	외교-명(明) 재정-전세(田稅) 재정-국용(國用) 
1431-09-28L0	사법-재판(裁判) 풍속-예속(禮俗) 
1431-10-01L0	왕실-의식(儀式) 
1431-10-01L0	예술-음악(音樂) 의생활-예복(禮服) 역사-고사(故事) 어문학-문학(文學) 
1431-10-17L0	인사-관리(管理) 행정-지방행정(地方行政) 역사-고사(故事) 정론-정론(政論) 
1431-10-30L0	의생활-예복(禮服) 왕실-의식(儀式) 역사-고사(故事) 사법-법제(法制) 
1431-11-01L0	인사-관리(管理) 
1431-11-05L0	행정-지방행정(地方行政) 인사-관리(管理) 
1431-11-05L0	예술-음악(音樂) 왕실-의식(儀式) 외교-명(明) 
1431-11-05L0	왕실-종사(宗社) 역사-고사(故事) 
1431-11-07L0	외교-유구(琉球) 행정-중앙행정(中央行政) 
1431-11-08L0	외교-명(明) 
1431-11-09L0	외교-유구(琉球) 
1431-11-10L0	정론-정론(政論) 사법-탄핵(彈劾) 
1431-11-10L0	재정-창고(倉庫) 재정-군자(軍資) 재정-전세(田稅) 행정-지방행정(地方行政) 
